,E (MeV),loc,Power,Avg. Flux
363,2.2e-10,PTP,100.0,81116624800.0
364,2.2e-10,RB,85.0,50792077500.0
365,2.2e-10,RB,100.0,51830130000.0
366,2.3e-10,FT5,85.0,96106065217.39131
367,2.3e-10,FT5,100.0,114734835416.66667
368,2.3e-10,PTP,85.0,54794360000.0
369,2.3e-10,PTP,100.0,89586033200.0
370,2.3e-10,RB,85.0,55466362500.0
371,2.3e-10,RB,100.0,56624860000.0
372,2.4e-10,FT5,85.0,105870972463.76811
373,2.4e-10,FT5,100.0,126180050000.0
374,2.4e-10,PTP,85.0,60362960000.0
375,2.4e-10,PTP,100.0,99732463600.0
376,2.4e-10,RB,85.0,60986215000.0
377,2.4e-10,RB,100.0,62289170000.0
378,2.55e-10,FT5,85.0,118481092028.9855
379,2.55e-10,FT5,100.0,140915593750.0
380,2.55e-10,PTP,85.0,67537510000.0
381,2.55e-10,PTP,100.0,112980920000.0
382,2.55e-10,RB,85.0,68088065000.0
383,2.55e-10,RB,100.0,69579635000.0
384,2.7e-10,FT5,85.0,131767813043.47826
385,2.7e-10,FT5,100.0,156398577083.33334
386,2.7e-10,PTP,85.0,75080530000.0
387,2.7e-10,PTP,100.0,127081145200.0
388,2.7e-10,RB,85.0,75545087500.0
389,2.7e-10,RB,100.0,77237750000.0
390,2.8e-10,FT5,85.0,145881296376.81158
391,2.8e-10,FT5,100.0,172783679166.66666
392,2.8e-10,PTP,85.0,83067230000.0
393,2.8e-10,PTP,100.0,142250517600.0
394,2.8e-10,RB,85.0,83429295000.0
395,2.8e-10,RB,100.0,85338455000.0
396,3e-10,FT5,85.0,163558148550.72464
397,3e-10,FT5,100.0,193568229166.66666
398,3e-10,PTP,85.0,93149400000.0
399,3e-10,PTP,100.0,161242229200.0
400,3e-10,RB,85.0,92660957500.0
401,3e-10,RB,100.0,94877455000.0
402,3.2e-10,FT5,85.0,182170752173.91306
403,3.2e-10,FT5,100.0,216100562500.0
404,3.2e-10,PTP,85.0,103973170000.0
405,3.2e-10,PTP,100.0,180973656000.0
406,3.2e-10,RB,85.0,101069040000.0
407,3.2e-10,RB,100.0,103681925000.0
408,3.4e-10,FT5,85.0,200123045652.17392
409,3.4e-10,FT5,100.0,238296395833.33334
410,3.4e-10,PTP,85.0,114564170000.0
411,3.4e-10,PTP,100.0,199873092000.0
412,3.4e-10,RB,85.0,108247697500.0
413,3.4e-10,RB,100.0,111292140000.0
414,3.6e-10,FT5,85.0,218673787681.15942
415,3.6e-10,FT5,100.0,261310250000.0
416,3.6e-10,PTP,85.0,125536400000.0
417,3.6e-10,PTP,100.0,219501764000.0
418,3.6e-10,RB,85.0,115485247500.0
419,3.6e-10,RB,100.0,118981400000.0
420,3.8e-10,FT5,85.0,237808481159.4203
421,3.8e-10,FT5,100.0,285124500000.0
422,3.8e-10,PTP,85.0,136881220000.0
423,3.8e-10,PTP,100.0,239845308000.0
424,3.8e-10,RB,85.0,122779105000.0
425,3.8e-10,RB,100.0,126746355000.0
426,4e-10,FT5,85.0,258777362318.84058
427,4e-10,FT5,100.0,311305104166.6667
428,4e-10,PTP,85.0,149343150000.0
429,4e-10,PTP,100.0,262246560000.0
430,4e-10,RB,85.0,130588622500.0
431,4e-10,RB,100.0,135076845000.0
